深度学习 人工智能算法，机器学习奠基之作，AI圣经AI圣经 Deep Learning中文版 长期位居美国ya马逊人工智能和机器学习类图书榜首 深度学习领域奠基性的经典畅销书 特斯拉CEO埃隆・马斯克等国内外众多专家推荐,AI圣经！深度学习领域奠基性的经典畅销书！长期位居美国亚马逊AI和机器学习类图书榜首！所有数据科学家和机器学习从业者的必读图书！特斯拉CEO埃隆 马斯克等国内外众多专家推荐！ 深度学习是机器学习的一个分支，它能够使计算机通过层次概念来学习经验和理解世界。因为计算机能够从经验中获取知识，所以不需要人类来形式化地定义计算机需要的所有知识。层次概念允许计算机通过构造简单的概念来学习复杂的概念，而这些分层的图结构将具有很深的层次。本书会介绍深度学习领域的许多主题。 本书囊括了数学及相关概念的背景知识，包括线性代数、概率论、信息论、数值优化以及机器学习中的相关内容。同时，它还介绍了工业界中实践者用到的深度学习技术，包括深度前馈网络、正则化、优化算法、卷积网络、序列建模和实践方法等，并且调研,126.00,4.0,[美]Ian Goodfellow（伊恩・古德费洛）、[加]Yoshua Bengio（约书亚・本吉奥）、[加]Aaron Courville（亚伦・,人工智能
人工智能（团购，请致电010-57993380）“人工智能”被写入2017年政府工作报告，智能革命时代先行者李开复解读AI如何重塑个人、商业与社会的未来图谱,2017年是 人工智能应用元年 ，人工智能将引领一场比互联网影响更为深远的科技革命。 本书是全面了解人工智能的必读之作，秒杀你对人工智能的一切疑问，好读易懂，有趣有料。 创新工场董事长李开复、创新工场人工智能工程院副院长王咏刚携手解读：人工智能时代，个人与企业如何找到人机协作的新位置。 人工智能将颠覆现有的商业模式，不仅在高科技领域，任何企业都需要尽早引入 AI 的思维方式。 人工智能将部分取代人类的工作，程式化的、重复性的技能将失去价值。我们的工作必须具备足够的深度，让自己强大到不会轻易被机器撼动。,39.20,4.5,李开复；王咏刚,人工智能
人工智能的未来（揭示人类思维的奥秘）《如何创造思维》全新升级改版！奇点大学校长、谷歌工程总监、《奇点临近》作者雷・库兹韦尔全面解析“人工智能”创建原理的颠覆力作！段永朝、刘慈欣、马文明斯基、彼得戴曼迪斯等联袂倾情推荐！,美国国家技术奖获得者、奇点大学校长、谷歌公司工程总监雷库兹韦尔**力作。这是一部洞悉未来思维模式、全面解析 人工智能 创建原理的颠覆力作。库兹韦尔对于大脑和人工智能的理解，将对我们生活的方方面面、各行各业，以及我们有关未来的设想产生巨大的影响。库兹韦尔通过一系列推理告诉我们，我们有能力创造超越人类智能的非生物智能。 湛庐文化联合权威机构中国人工智能学会特设专家委员会！该专家委员会包括中国工程院院士李德毅、驭势科技（北京）有限公司联合创始人兼CEO吴甘沙、地平线机器人技术创始人余凯、IBM中国研究院院长沈晓卫、国际人工智能大会(IJCAI)常务理事杨强、科大讯飞研究院院长胡郁、中国人工智能学会秘书长王卫宁等专家学者，他们将以自身深厚的专业实力、卓越的洞察力和深远的影响力，对这些优秀图书进行,63.10,5.0,（美）雷・库兹韦尔（Ray Kurzweil）著 ，盛杨燕 译,人工智能
人工智能简史入围2017中国好书 文津图书奖 全方位解读人工智能的起源 神经网络 遗传算法 深度学习 自然语言处理等知识 深度点评AI历史趣事,本书全面讲述人工智能的发展史，几乎覆盖人工智能学科的所有领域，包括人工智能的起源、自动定理证明、专家系统、神经网络、自然语言处理、遗传算法、深度学习、强化学习、超级智能、哲学问题和未来趋势等，以宏阔的视野和生动的语言，对人工智能进行了全面回顾和深度点评。 本书作者和书中诸多人物或为师友或相熟相知，除了详实的考证还有有趣的轶事。本书既适合专业人士了解人工智能鲜为人知的历史，也适合对人工智能感兴趣的大众读者作为入门的向导。,38.70,5.0,尼克,人工智能
高级人工智能（第三版）,,130.30,5.0,史忠植,人工智能
极简人工智能：你一定爱读的AI通识书以简单有趣的方式，把人工智能说透彻！全方位呈现“AI+”全景蓝图 ：群体智能、神经网络、智能代理、情感机器、智能计算、智能机器人……,"《极简人工智能：你一定爱读的AI通识书》是新一代人工智能定义、核心概念、历史以及zui新成果的科普书，深入浅出地讲述群体智能、神经网络、智能代理、情感机器、智能计算、智能机器人等人工智能核心概念和*新成果。《极简人工智能：你一定爱读的AI通识书》作者1975年开始跟踪研究人工智能近40多年的时间，内容深入浅出，十分扎实。 《极简人工智能：你一定爱读的AI通识书》图文并茂、趣味性强，以极简的方式，把人工智能说透彻！全方位呈现""AI ""全景蓝图 ：群体智能、神经网络、智能代理、情感机器、智能计算、智能机器人",42.20,4.5,（英）Richard Urwin（理查德・温）,人工智能
人工智能：国家人工智能战略行动抓手7比尔・盖茨、埃隆・马斯克、扎克伯格、李彦宏、马化腾、李开复、雷军、刘庆峰等跨界大咖都在关注的科技新革命，个人和组织都须尽快认知，积极应对，腾讯携手工信部打造国家人工智能战略行动抓手！新旧封面自动发货,本书荣获2017年中国出版协会精品阅读年度好书奖、中国社会科学网2017年度好书， 入选《中国新闻出版广电报》10月优秀畅销书总榜、北京图书大厦高级管理者书单 1. 一本书建立人工智能知识体系 从历史到当下完整介绍，技术前沿前瞻判断 2. 个人机遇充分挖掘 哪些工作机器无法替代，哪些机遇个人不能错过 3. 产业重点尽在掌握 拥抱机遇规避风险，抓住经济发展新引擎 4. 国际竞争态势一目了然 各国*规划全披露 对于人工智能，个人和组织都必须尽快认知，积极应对！ 全面了解人工智能必读书！,53.70,4.5,腾讯研究院、中国信息通信研究院互联网法律研究中心、腾讯AI Lab、腾讯开放平台,人工智能
区块链 人工智能 数字货币：黑科技让生活更美好？《纽约时报》 美国亚马逊畅销书；解密正在全面爆发的区块链、人工智能和数字货币等黑科技，跟紧未来趋势，用技术重构世界；独特的表现手法，科幻大片般的既视感，你一定爱读的黑科技之书,《纽约时报》、美国亚马逊畅销书；解密正在全面爆发的区块链、人工智能和数字货币等黑科技，跟紧未来趋势，用技术重构世界；莎士奇亚 萨森、布莱恩 伊诺等大咖力荐；独特的表现手法，科幻大片般的既视感，是一本你一定爱读的黑科技之书。,65.70,4.0,（美）Adam Greenfield（亚当・格林菲尔德）,人工智能
人工智能新时代：全球人工智能应用真实落地50例,,57.30,5.0,（日）ITpro ，（日）Nikkei Computer（ 日经computer）,人工智能
人工智能产品经理――AI时代PM修炼手册著名产品人梁宁力荐。回归AI产品本质，深度剖析AI产品的创造过程，从技术实现逻辑、设计要素、市场把控等角度阐释如何创造一款成功的AI产品。产品经理、创业者以及AI爱好者适合阅读！,顺应AI时代大潮，为产品经理提供进阶、修炼的良机！让你成为一流的人工智能产品经理！成为人工智能产品经理，从本书开始。,49.70,5.0,张竞宇,人工智能
